paxCode,label,steamId
PAX0011550956,Dragon Ball Z: Kakarot (Ultimate Edition),
PAX0011551024,One Piece: Burning Blood,
PAX0011551228,My Hero One's Justice,
PAX0011551772,Dragon Ball FighterZ,
PAX0011551942,My Hero One's Justice,
PAX0011553200,Tekken 7,
PAX0011555104,Naruto to Boruto: Shinobi Striker,
PAX0011562686,Dark Souls: Remastered,
PAX0011562992,One Piece: Burning Blood (Gold Edition),
PAX0011587608,Billion Road,1163040
PAX0011599644,Super Robot Wars V,1031500
PAX0011599848,Super Robot Wars X,1031510
PAX0011612496,Project Cars 2 (Deluxe Edition),
PAX0011615896,11-11 Memories Retold,735580
PAX0011620588,.Hack//G.U. Last Recode,525480
PAX0011627354,Pac-Man 256,455400
PAX0011627830,Project Cars (Game of the Year Edition),
PAX0011632182,Tales of Zestiria,351970
PAX0011642246,Scarlet Nexus (Deluxe Edition),
PAX0011642280,Scarlet Nexus,775500
PAX0011656288,Little Nightmares,424840
PAX0011676212,Sword Art Online: Lost Song,840720
PAX0011678694,.Hack//G.U. Last Recode,525480
PAX0011688622,Tekken 7 Season Pass 2 (DLC),878467
PAX0011705588,Dark Souls: Remastered,570940
PAX0011723132,Tekken 7 Season Pass (DLC),
PAX0011727654,One Piece: Pirate Warriors 4,1089090
PAX0011733026,Project Cars,234630
PAX0011734760,Namco Museum Archives Vol 2,1254620
PAX0011740812,One Punch Man: A Hero Nobody Knows,991560
PAX0011755500,Get Even,299950
PAX0011764306,Tales of Symphonia,372360
PAX0011764782,Dark Souls III: Ashes of Ariandel (DLC),506970
PAX0011765360,Soulcalibur VI,544750
PAX0011771990,Code Vein,678960
PAX0011772466,Dragon Ball: Xenoverse 2,454650
PAX0011772500,One Piece Pirate Warriors 3,331600
PAX0011792288,Black Clover: Quartet Knights,714080
PAX0011792356,Dark Souls II: Scholar of the First Sin,335300
PAX0011792832,Soulcalibur VI Season Pass (DLC),874360
PAX0011795926,Sword Art Online Re: Hollow Fragment,638650
PAX0011812280,Katamari Damacy Reroll,848350
PAX0011812382,Little Nightmares (Complete Edition),
