Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP,Unnamed: 19,Unnamed: 20
BLACK CLOVER: QUARTET KNIGHTS,E02895,23,268.0,0.9,26.0,3.5711,82.1353,0.464243,71.45771099999999,0.2,14.291542199999999,0.05,3.5728855499999996,0.05,3.5728855499999996,2.17,49.91,0.6076559043431995,E02895,Match
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,12,288.0,0.85,43.0,5.90605,70.87259999999999,0.7677864999999999,61.659161999999995,0.2,12.3318324,0.05,3.0829581,0.05,3.0829581,3.6,43.2,0.6095444501824402,E02950,Match
BLEACH Rebirth of Souls,E06132,39,298.0,0.0,298.0,40.9303,1596.2817,5.320939,1388.765079,0.2,277.7530158,0.05,69.43825395,0.05,69.43825395,24.93,972.27,0.6090842236680405,E06132,Match
BLEACH Rebirth of Souls Deluxe Edition,E06690,20,398.0,0.0,398.0,54.6653,1093.306,7.106489000000001,951.17622,0.2,190.235244,0.05,47.558811,0.05,47.558811,33.29,665.8,0.6089786391001237,E06690,Match
BLEACH Rebirth of Souls Ultimate Edition,E06691,23,498.0,0.0,498.0,68.4003,1573.2069000000001,8.892039,1368.6900030000002,0.2,273.7380006,0.05,68.43450015,0.05,68.43450015,41.66,958.18,0.6090616561623267,E06691,Match
Captain Tsubasa: Rise of New Champions,E03350,197,198.0,0.88,23.0,3.15905,622.33285,0.41067650000000006,541.4295795,0.2,108.28591590000002,0.05,27.071478975000005,0.05,27.071478975000005,1.92,378.24,0.6077776546746648,E03350,Match
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,70,298.0,0.84,47.0,6.45545,451.8815,0.8392085,393.136905,0.2,78.62738100000001,0.05,19.656845250000003,0.05,19.656845250000003,3.93,275.1,0.6087879233825683,E04120,Match
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,96,398.0,0.82,71.0,9.75185,936.1776,1.2677405,814.4745119999999,0.2,162.89490239999998,0.05,40.723725599999995,0.05,40.723725599999995,5.94,570.24,0.609115193527382,E06272,Match
CODE VEIN,E03009,2,268.0,0.0,268.0,36.8098,73.6196,4.785274,64.049052,0.2,12.809810400000002,0.05,3.2024526000000004,0.05,3.2024526000000004,22.42,44.84,0.6090769306000032,E03009,Match
CODE VEIN,E03009,197,268.0,0.85,40.0,5.494,1082.318,0.71422,941.6166599999999,0.2,188.323332,0.05,47.080833,0.05,47.080833,3.35,659.95,0.6097560975609757,E03009,Match
CODE VEIN Deluxe Edition,E03483 ,6,368.0,0.0,368.0,50.5448,303.2688,6.570824000000001,263.843856,0.2,52.7687712,0.05,13.1921928,0.05,13.1921928,30.78,184.68,0.6089647204064513,E03483,Match
