Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,needs_review,review_reasons
Shadow Labyrinth,shadow_labyrinth,E06972,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",E06972=12p,False,
Shadow Labyrinth - Deluxe Edition,shadow_labyrinth_deluxe,L00032,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",L00032=12p,False,
SOULCALIBUR VI,soulcalibur_vi,E02875,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02875=22p,False,
SOULCALIBUR VI Deluxe Edition,soulcalibur_vi_deluxe,E03123,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03123=21p,False,
SPY×ANYA: Operation Memories,spy_anya_operation_memories,E05697,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05697=21p,False,
SPY×ANYA: Operation Memories Deluxe Edition,spy_anya_operation_memories_deluxe,E06533,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06533=19p,False,
Super Robot Wars 30,super_robot_wars_30,E04508,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04508=22p,False,
Super Robot Wars 30 Digital Deluxe Edition,super_robot_wars_30_deluxe,E05097,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05097=22p,False,
Super Robot Wars 30 Ultimate Edition,super_robot_wars_30_ultimate,E05098,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05098=21p; E03954=1p,False,
SUPER ROBOT WARS X,super_robot_wars_x,E03632,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03632=22p,False,
SUPER ROBOT WARS Y,super_robot_wars_y,L00033,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",L00033=12p,False,
SUPER ROBOT WARS Y Deluxe Edition,super_robot_wars_y_deluxe,L00034,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",L00034=12p,False,
SUPER ROBOT WARS Y - Expansion Pack,super_robot_wars_y_expansion_pack,L52098,1,2026-06,2026-06,"Heybox, Sonkwo",L52098=1p,False,
SUPER ROBOT WARS Y Ultimate Edition,super_robot_wars_y_ultimate,L00035,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",L00035=12p,False,
SWORD ART ONLINE Alicization Lycoris,sword_art_online_alicization_lycoris,E03060,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03060=22p,False,
SWORD ART ONLINE Alicization Lycoris Deluxe Edition,sword_art_online_alicization_lycoris_deluxe,E03954,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03954=21p; L10000=1p,False,
Sword Art Online: Fatal Bullet,sword_art_online_fatal_bullet,E02540,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02540=22p,False,
Sword Art Online: Fatal Bullet - Complete Edition,sword_art_online_fatal_bullet_complete,E03322,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03322=20p,False,
SWORD ART ONLINE Fractured Daydream,sword_art_online_fractured_daydream,E06120,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06120=22p; E06652=1p,False,
SWORD ART ONLINE Fractured Daydream Deluxe Edition,sword_art_online_fractured_daydream_deluxe,E06531,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06531=22p; E06272=1p,False,
SWORD ART ONLINE Fractured Daydream Premium Edition,sword_art_online_fractured_daydream_premium,E06532,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06532=22p; E03322=1p,False,
Sword Art Online: Hollow Realization Deluxe Edition,sword_art_online_hollow_realization_deluxe,E02310,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02310=21p,False,
SWORD ART ONLINE Last Recollection,sword_art_online_last_recollection,E05687,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05687=21p,False,
SWORD ART ONLINE Last Recollection Deluxe Edition,sword_art_online_last_recollection_deluxe,E06096,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06096=22p,False,
Sword Art Online: Lost Song,sword_art_online_lost_song,E05372,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05372=22p,False,
SYNDUALITY Echo of Ada,synduality_echo_of_ada,E05693,18,2025-01,2026-06,"Alibaba, Heybox, Sonkwo",E05693=18p,False,
SYNDUALITY Echo of Ada Deluxe Edition,synduality_echo_of_ada_deluxe,E06636,17,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E06636=17p,False,
SYNDUALITY Echo of Ada Ultimate Edition,synduality_echo_of_ada_ultimate,E06637,17,2025-01,2026-06,"Alibaba, Heybox, Sonkwo",E06637=17p,False,
Taiko no Tatsujin: Rhythm Festival,taiko_no_tatsujin_rhythm_festival,E06129,19,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E06129=19p,False,
Taiko no Tatsujin: Rhythm Festival The Setlist Edition,taiko_no_tatsujin_rhythm_festival_the_setlist,E06635,19,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E06635=19p,False,
Tales of Arise,tales_of_arise,E03024,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03024=22p,False,
Tales of Arise - Beyond the Dawn Edition,tales_of_arise_beyond_the_dawn,E06160,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06160=22p,False,
Tales of Arise - Beyond the Dawn Deluxe Edition,tales_of_arise_beyond_the_dawn_deluxe,E06161,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06161=22p,False,
Tales of Arise - Beyond the Dawn Expansion,tales_of_arise_beyond_the_dawn_expansion,E06168,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06168=22p,False,
Tales of Arise - Beyond the Dawn Ultimate Edition,tales_of_arise_beyond_the_dawn_ultimate,E06162,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06162=20p; E06168=2p,True,competing_item_numbers
Tales of Berseria,tales_of_berseria,E02174,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02174=19p,False,
Tales of Berseria Remastered,tales_of_berseria_remastered,L00438,5,2026-02,2026-06,Heybox,L00438=5p,False,
Tales of Berseria Remastered Deluxe Edition,tales_of_berseria_remastered_deluxe,L00439,5,2026-02,2026-06,Heybox,L00439=5p,False,
Tales of Graces f Remastered,tales_of_graces_f_remastered,E06381,18,2025-01,2026-06,"Alibaba, Heybox, Sonkwo",E06381=18p,False,
Tales of Graces f Remastered Deluxe Edition,tales_of_graces_f_remastered_deluxe,E06689,16,2025-01,2026-06,"Alibaba, Heybox, Sonkwo",E06689=16p,False,
Tales of Vesperia: Definitive Edition,tales_of_vesperia_definitive,E03191,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03191=21p,False,
