Normalized Name,Product Name,reseller
tales_of_arise_beyond_the_dawn_ultimate,Tales of Arise - Beyond the Dawn Ultimate Edition,Heybox
tales_of_berseria,Tales of Berseria,Heybox
tales_of_berseria_remastered,Tales of Berseria Remastered,Heybox
tales_of_berseria_remastered_deluxe,Tales of Berseria Remastered Deluxe Edition,Heybox
tales_of_graces_f_remastered,Tales of Graces f Remastered,Heybox
tales_of_graces_f_remastered_deluxe,Tales of Graces f Remastered Deluxe Edition,Heybox
tales_of_vesperia_definitive,Tales of Vesperia: Definitive Edition,Heybox
tales_of_xillia_remastered,Tales of Xillia Remastered,Heybox
tales_of_xillia_remastered_deluxe,Tales of Xillia Remastered Deluxe Edition,Heybox
tales_of_zestiria,Tales of Zestiria,Heybox
tekken_7,TEKKEN 7,Heybox
tekken_7_originals,TEKKEN 7 - Originals Edition,Heybox
tekken_8,TEKKEN 8,Heybox
tekken_8_advanced,TEKKEN 8 Advanced Edition,Heybox
tekken_8_season_2_deluxe,TEKKEN 8 Season 2 Deluxe Edition,Heybox
tekken_8_season_2_ultimate,TEKKEN 8 Season 2 Ultimate Edition,Heybox
that_time_i_got_reincarnated_as_a_slime_isekai_chronicles,That Time I Got Reincarnated as a Slime ISEKAI Chronicles,Heybox
that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_deluxe,That Time I Got Reincarnated as a Slime ISEKAI Chronicles Deluxe Edition,Heybox
the_idolm_ster_starlit_season,THE IDOLM@STER STARLIT SEASON,Heybox
the_idolm_ster_starlit_season_deluxe,THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,Heybox
towa_and_the_guardians_of_the_sacred_tree,Towa and the Guardians of the Sacred Tree,Heybox
towa_and_the_guardians_of_the_sacred_tree_deluxe,Towa and the Guardians of the Sacred Tree Deluxe Edition,Heybox
we_love_katamari_reroll_royal_reverie,We Love Katamari REROLL+ Royal Reverie,Heybox
we_love_katamari_reroll_royal_reverie_special,We Love Katamari REROLL+ Royal Reverie Special Edition,Heybox
accel_world_vs_sword_art_online_deluxe,Accel World VS. Sword Art Online Deluxe Edition,Sonkwo
ace_combat_7_skies_unknown,ACE COMBAT 7: SKIES UNKNOWN,Sonkwo
ace_combat_7_skies_unknown_top_gun_maverick,ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,Sonkwo
ace_combat_7_skies_unknown_top_gun_maverick_ultimate,ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,Sonkwo
ace_combat_8_wings_of_theve,ACE COMBAT 8: WINGS OF THEVE,Sonkwo
